"","1651RP","ATT","BCL","BEQ","BSYNC","CBES","DOTY","IEA11","IEA46","ILTRM","NYTRM","REMDB","STD100","THUM","WSU","WULF"
"1651RP",100,27,35,71,27,44,63,71,72,62,59,20,73,57,68,60
"ATT",27,100,24,52,100,49,19,47,47,24,20,36,46,32,38,49
"BCL",35,24,100,37,24,33,28,32,33,25,24,18,36,24,24,28
"BEQ",71,52,37,100,52,46,52,76,91,50,50,34,94,62,73,80
"BSYNC",27,100,24,52,100,49,19,47,47,24,20,36,46,32,38,49
"CBES",44,49,33,46,49,100,30,49,43,34,32,26,44,31,44,38
"DOTY",63,19,28,52,19,30,100,56,55,48,56,14,54,46,44,46
"IEA11",71,47,32,76,47,49,56,100,79,49,52,30,77,69,71,68
"IEA46",72,47,33,91,47,43,55,79,100,53,51,30,96,73,80,80
"ILTRM",62,24,25,50,24,34,48,49,53,100,70,18,50,41,54,47
"NYTRM",59,20,24,50,20,32,56,52,51,70,100,22,49,41,46,44
"REMDB",20,36,18,34,36,26,14,30,30,18,22,100,30,26,19,30
"STD100",73,46,36,94,46,44,54,77,96,50,49,30,100,67,76,76
"THUM",57,32,24,62,32,31,46,69,73,41,41,26,67,100,66,55
"WSU",68,38,24,73,38,44,44,71,80,54,46,19,76,66,100,71
"WULF",60,49,28,80,49,38,46,68,80,47,44,30,76,55,71,100
