eem_id,document,cat_lev1,cat_lev2,eem_name
1,1651RP,Daylighting,Active,Daylighting and Occupant Control by Fixture
2,1651RP,Daylighting,Active,Dimming daylight controls
3,1651RP,Daylighting,Active,Optimal Daylighting Control
4,1651RP,Daylighting,Active,Optimal Daylighting Sensor Location
5,1651RP,Daylighting,Active,Outdoor placement of light sensors for electric lighting
6,1651RP,Daylighting,Active,Sun tracking tubular daylighting devices
7,1651RP,Daylighting,Passive,Baffles for roof monitors
8,1651RP,Daylighting,Passive,External Light Shelves
9,1651RP,Daylighting,Passive,Fluorescence based light guides
10,1651RP,Daylighting,Passive,High ceilings
11,1651RP,Daylighting,Passive,High continuous daylighting windows/clerestory windows
12,1651RP,Daylighting,Passive,Inside surface reflectance
13,1651RP,Daylighting,Passive,Internal Light Shelves
14,1651RP,Daylighting,Passive,Light Well for daylighting
15,1651RP,Daylighting,Passive,Outside surface reflectance
16,1651RP,Daylighting,Passive,Overhang for roof monitors
17,1651RP,Daylighting,Passive,Passive Beam Daylighting Arrays
18,1651RP,Daylighting,Passive,Prismatic Diffusing Skylights
19,1651RP,Daylighting,Passive,Roof monitors
20,1651RP,Daylighting,Passive,Sloped ceilings
21,1651RP,Daylighting,Passive,specular light shelves
22,1651RP,Daylighting,Passive,Transparent facade display cases
23,1651RP,Daylighting,Passive,Tubular daylighting devices
24,1651RP,Daylighting,Passive,Use of interzone luminous ceilings
25,1651RP,Daylighting,Passive,Use of interzone windows and glazed doors
26,1651RP,Daylighting,Passive,Use of reflectors underneath skylights
27,1651RP,Envelope,Fenestration,Airflow windows
28,1651RP,Envelope,Fenestration,Automatic /Dynamic External Window shades or blinds
29,1651RP,Envelope,Fenestration,Automatic Internal Window shades
30,1651RP,Envelope,Fenestration,Double skin facade
31,1651RP,Envelope,Fenestration,Dynamic Skylight Fenestration
32,1651RP,Envelope,Fenestration,Effective aperture
33,1651RP,Envelope,Fenestration,Electrochromic Dynamic Vertical Fenestration
34,1651RP,Envelope,Fenestration,Green Trellis
35,1651RP,Envelope,Fenestration,Heat absorbing blinds
36,1651RP,Envelope,Fenestration,Manual Internal Window shades
37,1651RP,Envelope,Fenestration,Minimize windows east and west and maximize north and south
38,1651RP,Envelope,Fenestration,Movable Window  Overhangs and Fins
39,1651RP,Envelope,Fenestration,Optimal Choice of Skylight Construction
40,1651RP,Envelope,Fenestration,Optimal Choice of Vertical Fenestration Construction
41,1651RP,Envelope,Fenestration,Optimal Skylight to Roof Ratio
42,1651RP,Envelope,Fenestration,Optimal Window  Overhangs and Fins
43,1651RP,Envelope,Fenestration,Optimal Window to Wall Ratio
44,1651RP,Envelope,Fenestration,Passive solar design
45,1651RP,Envelope,Fenestration,Shading from trees and foliage
46,1651RP,Envelope,Fenestration,Shading Integral with the Glazing
47,1651RP,Envelope,Fenestration,Solar diffusing fenestration
48,1651RP,Envelope,Fenestration,Storm windows
49,1651RP,Envelope,Fenestration,Thermal shutters or movable insulation
50,1651RP,Envelope,Fenestration,Thermochromic Dynamic Vertical Fenestration
51,1651RP,Envelope,Fenestration,Use insulated glass block for light without view
52,1651RP,Envelope,Fenestration,Vacuum glazing
53,1651RP,Envelope,Form,Narrow floorplate
54,1651RP,Envelope,Form,Optimal building form
55,1651RP,Envelope,Form,Optimal building orientation
56,1651RP,Envelope,Form,Optimal ratio: south glazing area to floor area
57,1651RP,Envelope,Form,Shared office space
58,1651RP,Envelope,Form,Underground or ground connected rooms
59,1651RP,Envelope,Infiltration,High efficiency load dock doors
60,1651RP,Envelope,Infiltration,High Performance Air Barrier to Reduce Infiltration
61,1651RP,Envelope,Infiltration,Optimal infiltration
62,1651RP,Envelope,Infiltration,Vehicular/dock doors with low infiltration
63,1651RP,Envelope,Infiltration,Vestibules
64,1651RP,Envelope,Opaque,Aerogel insulated walls
65,1651RP,Envelope,Opaque,"Automatic doors, air curtains, or strip doors at high-traffic passages between conditioned and unconditioned spaces."
66,1651RP,Envelope,Opaque,double layers of gypsum board as a way of getting increased thermal storage capacity
67,1651RP,Envelope,Opaque,Double roof
68,1651RP,Envelope,Opaque,Dynamic Roof Insulation
69,1651RP,Envelope,Opaque,Dynamic Wall Insulation
70,1651RP,Envelope,Opaque,Exterior natural ventilation cavity
71,1651RP,Envelope,Opaque,Exterior walls with phase change materials
72,1651RP,Envelope,Opaque,Highly reflective roof and walls exposed to sunlight
73,1651RP,Envelope,Opaque,High-speed doors between heated/cooled building space and unconditioned space in the areas with high-traffic
74,1651RP,Envelope,Opaque,Increase Exterior Wall Mass
75,1651RP,Envelope,Opaque,Increase Interal Wall Mass
76,1651RP,Envelope,Opaque,Increase Roof Mass
77,1651RP,Envelope,Opaque,Insulating paints
78,1651RP,Envelope,Opaque,Interior wall insulation
79,1651RP,Envelope,Opaque,Interior walls with phase change materials
80,1651RP,Envelope,Opaque,large reservoirs of water for thermal mass within zone
81,1651RP,Envelope,Opaque,Low u-value doors
82,1651RP,Envelope,Opaque,Optimal Below Grade Wall Insulation Level
83,1651RP,Envelope,Opaque,Optimal Roof Insulation Level
84,1651RP,Envelope,Opaque,Optimal Slab-On Grade Wall Insulation Level
85,1651RP,Envelope,Opaque,Optimal Wall Insulation Level
86,1651RP,Envelope,Opaque,Passsive ventilated roof deck
87,1651RP,Envelope,Opaque,Phase change material on dropped ceiling which serves as a return plenum.
88,1651RP,Envelope,Opaque,Rammed earth walls
89,1651RP,Envelope,Opaque,Reduce thermal bridging
90,1651RP,Envelope,Opaque,Roof shading
91,1651RP,Envelope,Opaque,timber as thermal mass
92,1651RP,Envelope,Opaque,Trombe walls
93,1651RP,Envelope,Opaque,Vacuum insulated panel walls
94,1651RP,Envelope,Opaque,Vegetative roof
95,1651RP,Envelope,Opaque,Wall shading
96,1651RP,Exterior Load,Lighting,LED exterior lighting
97,1651RP,Exterior Load,Lighting,Parking Garage Lighting Control
98,1651RP,Exterior Load,Lighting,Sensor based exterior lighting
99,1651RP,HVAC,Control,Advanced VAV fan powered box control
100,1651RP,HVAC,Control,Automated whole-building diagnostics
101,1651RP,HVAC,Control,Automatic chilled water supply temperature reset
102,1651RP,HVAC,Control,Boiler optimal start control
103,1651RP,HVAC,Control,Boiler time clock
104,1651RP,HVAC,Control,Building nighttime precooling using ventilated slab
105,1651RP,HVAC,Control,Building nighttime precooling using ventilation
106,1651RP,HVAC,Control,chilled water temperature to be 59 F
107,1651RP,HVAC,Control,Chiller optimal start control
108,1651RP,HVAC,Control,Chiller time clock
109,1651RP,HVAC,Control,Control boilers and air conditioner to not operate at the same time
110,1651RP,HVAC,Control,Control Commissioning
