topic,term,beta
Topic 1,heat,0.041
Topic 1,cool,0.037
Topic 1,control,0.036
Topic 1,air,0.032
Topic 1,system,0.031
Topic 1,use,0.027
Topic 1,water,0.023
Topic 1,high,0.022
Topic 1,temperature,0.021
Topic 1,reduce,0.018
Topic 1,efficiency,0.017
Topic 1,light,0.016
Topic 1,chill,0.014
Topic 1,fan,0.014
Topic 1,motor,0.012
Topic 2,install,0.035
Topic 2,system,0.026
Topic 2,light,0.02
Topic 2,water,0.018
Topic 2,use,0.016
Topic 2,replace,0.016
Topic 2,reduce,0.015
Topic 2,energy,0.011
Topic 2,hour,0.009
Topic 2,consider,0.009
Topic 2,lamp,0.009
Topic 2,sensor,0.008
Topic 2,build,0.008
Topic 2,zone,0.008
Topic 2,space,0.008
Topic 3,add,0.031
Topic 3,zone,0.018
Topic 3,set,0.018
Topic 3,build,0.015
Topic 3,cop,0.014
Topic 3,eer,0.012
Topic 3,doas,0.011
Topic 3,story,0.011
Topic 3,area,0.01
Topic 3,demand,0.01
Topic 3,economizer,0.01
Topic 3,hvac,0.01
Topic 3,value,0.01
Topic 3,type,0.01
Topic 3,efficiency,0.009
Topic 4,air,0.039
Topic 4,heat,0.026
Topic 4,pump,0.023
Topic 4,boiler,0.02
Topic 4,heater,0.019
Topic 4,water,0.018
Topic 4,insulation,0.014
Topic 4,energy,0.012
Topic 4,conditioner,0.012
Topic 4,fan,0.012
Topic 4,high,0.012
Topic 4,light,0.012
Topic 4,low,0.011
Topic 4,recovery,0.011
Topic 4,furnace,0.011
Topic 5,install,0.093
Topic 5,replace,0.034
Topic 5,unit,0.023
Topic 5,insulate,0.018
Topic 5,remove,0.015
Topic 5,pump,0.014
Topic 5,fixture,0.014
Topic 5,operation,0.014
Topic 5,minimize,0.013
Topic 5,automatic,0.013
Topic 5,spray,0.012
Topic 5,seal,0.011
Topic 5,turn,0.011
Topic 5,plant,0.01
Topic 5,tank,0.01
Topic 6,upgrade,0.057
Topic 6,install,0.055
Topic 6,replace,0.044
Topic 6,add,0.034
Topic 6,repair,0.033
Topic 6,system,0.031
Topic 6,implement,0.028
Topic 6,clean,0.027
Topic 6,operate,0.023
Topic 6,sequence,0.023
Topic 6,calibration,0.018
Topic 6,protocol,0.017
Topic 6,documentation,0.016
Topic 6,train,0.015
Topic 6,insulation,0.013
